User ID,Occupation (O*NET-SOC Title),Gender,Race,Income,Age,Education,Experience,AI Tedious Work Attitude,AI Job Importance Attitude,AI Daily Interest Attitude,AI Suffering Attitude,Zip Code,Political Affiliation,LLM Familiarity,LLM Use in Work,LLM Usage by Type - Information Access,LLM Usage by Type - Edit,LLM Usage by Type - Idea Generation,LLM Usage by Type - Communication,LLM Usage by Type - Analysis,LLM Usage by Type - Decision,LLM Usage by Type - Coding,LLM Usage by Type - System Design,LLM Usage by Type - Data Processing,Recruitment Source
231576cd-4cc2-4dee-91cb-6bb0105d06db,Information Technology Project Managers,Male,White,60-86K,25,Bachelor’s Degree,3-5 years,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,2155,Independent,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Never,Weekly,Never,Weekly,Never,Never,Monthly,Never,Weekly,Prolific
1ea438f6-b348-41ef-a3b7-0d3ea26da742,Computer Systems Engineers/Architects,Male,White,209K-529K,52,"Some College, No Degree",More than 10 years,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,,Independent,I use them regularly.,"Yes, I use them every week in my work.",Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Prolific
e2d91683-e436-429f-aaa2-ba6c47d0b288,Computer and Information Systems Managers,Male,Black,30-60K,30,Bachelor’s Degree,6-10 years,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,,Democrat,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Weekly,Weekly,Weekly,Daily,Daily,Weekly,Daily,Weekly,Weekly,Prolific
2e027f5b-019e-4215-ae3c-180cf6c576ff,Information Technology Project Managers,Male,Black,86K-165K,26,Master’s Degree,6-10 years,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,90001,Republican,I have heard of them but don't know much about their functionalities.,"Yes, I use them every day in my work.",Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Prolific
b2efd415-bcf4-4465-8ff5-34e2dd167f01,Information Technology Project Managers,Male,Black,0-30K,32,Bachelor’s Degree,3-5 years,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,,No political affliation,I use them regularly.,"Yes, I have used them occasionally for specific tasks.",Weekly,Weekly,Daily,Weekly,Daily,Daily,Daily,Daily,Weekly,WoM
ac9969bb-e13d-408a-8092-ef8eee5ad2f5,Computer and Information Systems Managers,Female,White,165K-209K,44,Master’s Degree,1-2 year,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,,Democrat,I use them regularly.,"Yes, I use them every day in my work.",Never,Weekly,Weekly,Daily,Daily,Never,Monthly,Never,Daily,Prolific
77912bd1-921b-40b8-9c9c-f80822a6a40a,Computer and Information Systems Managers,Male,White,60-86K,36,Associate Degree,3-5 years,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,,Libertarian,I use them regularly.,"Yes, I use them every day in my work.",Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Prolific
f7d12a48-ce3a-495e-a132-f4b10ca073ac,Computer and Information Systems Managers,Male,White,86K-165K,34,Bachelor’s Degree,6-10 years,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,,Democrat,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Daily,Weekly,Monthly,Daily,Daily,Daily,Daily,Weekly,Daily,Prolific
c341e4cc-eb09-476d-977b-1bd44b8ef293,Computer and Information Systems Managers,Male,White,30-60K,33,Bachelor’s Degree,3-5 years,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly agree,33917,Republican,I have some experience using them.,"No, I have not used them for any work-related activities.",,,,,,,,,,Prolific
af21c46a-23b2-409e-8aa7-a52ae72f4c7a,Computer and Information Systems Managers,Male,Asian American and Pacific Islander,60-86K,25,Bachelor’s Degree,1-2 year,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,,Independent,I use them regularly.,"Yes, I use them every week in my work.",Weekly,Monthly,Weekly,Daily,Monthly,Weekly,Never,Never,Monthly,Prolific
6e30e573-eb3e-4fe5-96eb-0753aeb0d41b,Computer and Information Systems Managers,Male,White,86K-165K,48,Bachelor’s Degree,More than 10 years,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,60046,Democrat,I use them regularly.,"Yes, I use them every day in my work.",Daily,Weekly,Monthly,Monthly,Weekly,Monthly,Never,Never,Never,Prolific
4ef074b3-f5e8-4480-bc48-bc3e68fda386,Computer and Information Systems Managers,Male,White,60-86K,27,Bachelor’s Degree,3-5 years,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,92392,Independent,I have some experience using them.,"Yes, I use them every day in my work.",Weekly,Daily,Monthly,Weekly,Weekly,Monthly,Daily,Weekly,Monthly,Prolific
9d0bdd60-4ab5-416a-8231-fdcdc4b92b32,Computer and Information Systems Managers,Male,Asian American and Pacific Islander,209K-529K,49,Bachelor’s Degree,More than 10 years,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,,Independent,I use them regularly.,"No, I have not used them for any work-related activities.",,,,,,,,,,Prolific
051bafa4-57c0-4b01-a4ad-828c78afadfb,Computer and Information Systems Managers,Male,White,30-60K,54,"Some College, No Degree",More than 10 years,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,14883,Democrat,I have some experience using them.,"Yes, I use them every week in my work.",Weekly,Weekly,Weekly,Weekly,Never,Never,Never,Never,Monthly,Prolific
fb4e42d6-6487-4bcf-98af-99a49f70567a,Computer and Information Systems Managers,Male,White,165K-209K,49,Master’s Degree,More than 10 years,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,,Republican,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Weekly,Daily,Weekly,Weekly,Daily,Weekly,Daily,Weekly,Daily,Prolific
bf8d604e-9b5d-4b1b-8305-a9dcb097bf54,Computer and Information Systems Managers,Male,Asian American and Pacific Islander,86K-165K,27,Master’s Degree,3-5 years,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,,Republican,I have some experience using them.,"Yes, I use them every week in my work.",Never,Never,Never,Never,Never,Never,Never,Never,Never,Prolific
d0439194-692f-47e7-8339-54a9cbfd9d91,Computer and Information Systems Managers,Male,White,30-60K,49,High School,6-10 years,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,,Democrat,I use them regularly.,"Yes, I use them every day in my work.",Daily,Weekly,Daily,Daily,Daily,Daily,Weekly,Monthly,Weekly,Prolific
87db9938-ea76-428e-994d-21f371cad1ce,Computer and Information Systems Managers,Male,White,30-60K,36,Master’s Degree,6-10 years,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,,Republican,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Weekly,Weekly,Monthly,Daily,Weekly,Monthly,Daily,Weekly,Weekly,Prolific
216194e7-e39d-42f9-bf89-af0537983c5f,Computer and Information Systems Managers,Male,Black,30-60K,18,Bachelor’s Degree,1-2 year,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,37862,Democrat,I use them regularly.,"Yes, I use them every day in my work.",Daily,Weekly,Weekly,Daily,Daily,Weekly,Weekly,Weekly,Monthly,Prolific
1b3f2ed4-9876-4972-a951-cdae12118c0b,Computer Systems Analysts,Male,Hispanic,0-30K,30,Prefer not to say,More than 10 years,Strongly agree,Strongly disagree,Somewhat agree,Neither agree nor disagree,89104,Independent,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Daily,Daily,Never,Never,Daily,Never,Never,Daily,Daily,Prolific
b1ab6256-5078-4533-a5b9-e3127d47b0bf,Computer Systems Analysts,Male,Other,30-60K,38,Bachelor’s Degree,6-10 years,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,,Libertarian,I use them regularly.,"Yes, I use them every week in my work.",Weekly,Monthly,Weekly,Never,Never,Never,Never,Never,Never,Prolific
b91beceb-88e8-42bb-9784-355cead074d3,Computer and Information Systems Managers,Male,White,86K-165K,60,"Some College, No Degree",More than 10 years,Somewhat agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,,Republican,I have some experience using them.,"No, I have not used them for any work-related activities.",,,,,,,,,,Prolific
073fdfb6-505d-485e-a0f5-d628e3543671,Computer Systems Analysts,Female,White,60-86K,47,"Some College, No Degree",More than 10 years,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,1864,Democrat,I use them regularly.,"Yes, I use them every week in my work.",Daily,Weekly,Weekly,Daily,Daily,Daily,Weekly,Never,Daily,Prolific
78302b81-4938-4240-8768-e5d1a946c0bc,Computer and Information Systems Managers,Female,White,86K-165K,44,"Doctorate (e.g., PhD)",More than 10 years,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,,Republican,I use them regularly.,"Yes, I use them every day in my work.",Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Prolific
f8050db7-6869-4cb3-8c3d-3ef5189ba8fc,Computer and Information Systems Managers,Male,White,86K-165K,18,Bachelor’s Degree,3-5 years,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,,Republican,I have some experience using them.,"No, I have not used them for any work-related activities.",,,,,,,,,,Prolific
efb4d600-bd0c-4f02-9042-49524da88bd2,Computer and Information Systems Managers,Male,Black,209K-529K,25,Bachelor’s Degree,6-10 years,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,19809,Republican,I use them regularly.,"Yes, I use them every day in my work.",Weekly,Daily,Daily,Weekly,Daily,Daily,Daily,Weekly,Daily,Prolific
3f2a5f20-54a5-4388-8568-e33cbf2fb737,Computer Systems Analysts,Male,Black,60-86K,27,Master’s Degree,3-5 years,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,,Democrat,I have some experience using them.,"Yes, I use them every week in my work.",Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Prolific
d17e7c1a-c119-4923-b0da-ffd56663a382,Computer and Information Systems Managers,Female,White,60-86K,41,Associate Degree,1-2 year,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,48185,Democrat,I use them regularly.,"Yes, I use them every week in my work.",Daily,Weekly,Daily,Daily,Daily,Daily,Never,Daily,Weekly,Prolific
692898ca-ca4e-4871-ba56-d44f7f9def30,Computer Systems Analysts,Female,White,0-30K,21,"Some College, No Degree",Less than 1 year,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,33809,Democrat,I use them regularly.,"Yes, I use them every week in my work.",Monthly,Weekly,Weekly,Weekly,Monthly,Weekly,Never,Never,Never,Prolific
560754d9-1e99-4f15-abc9-b50d01d81781,Computer and Information Systems Managers,Female,White,86K-165K,54,Bachelor’s Degree,3-5 years,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,95111,Republican,I have some experience using them.,"Yes, I use them every week in my work.",Monthly,Weekly,Monthly,Weekly,Monthly,Weekly,Daily,Monthly,Weekly,Prolific
7880981c-59da-4d72-96c6-83f3607d288e,Computer Systems Analysts,Male,Hispanic,30-60K,56,Bachelor’s Degree,6-10 years,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,Democrat,I use them regularly.,"Yes, I have used them occasionally for specific tasks.",Daily,Weekly,Weekly,Weekly,Weekly,Weekly,Never,Never,Never,Prolific
d0a28cb3-f349-483b-b346-31c91497a296,Computer and Information Systems Managers,Male,White,86K-165K,18,Bachelor’s Degree,More than 10 years,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,Republican,I have some experience using them.,"Yes, I use them every week in my work.",Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Prolific
118a8339-4594-474c-a25d-037bc1d9a43c,Computer and Information Systems Managers,Male,White,86K-165K,24,Bachelor’s Degree,3-5 years,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,,Republican,I use them regularly.,"Yes, I use them every day in my work.",Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Prolific
3ef36c0f-554a-4a88-831f-1e0f5250831b,Computer Systems Analysts,Male,Black,86K-165K,35,Master’s Degree,6-10 years,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,20148,Independent,I use them regularly.,"Yes, I use them every day in my work.",Weekly,Daily,Weekly,Daily,Daily,Daily,Daily,Weekly,Daily,Prolific
9e2a580d-dbd6-4b1c-89be-6cf37bb1fa27,Computer and Information Systems Managers,Male,Black,60-86K,18,Master’s Degree,6-10 years,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly disagree,20149,Democrat,I use them regularly.,"Yes, I use them every day in my work.",Weekly,Weekly,Weekly,Never,Weekly,Never,Weekly,Monthly,Monthly,Prolific
90f62f69-424f-42ff-8701-05c02c8bd159,Computer and Information Systems Managers,Male,White,30-60K,51,Bachelor’s Degree,More than 10 years,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,87508,Republican,I use them regularly.,"Yes, I use them every day in my work.",Daily,Weekly,Daily,Daily,Never,Weekly,Daily,Daily,Weekly,Prolific
e5c920fc-7893-4b9b-b5c0-58aca98c82be,Information Technology Project Managers,Male,Black,30-60K,28,Bachelor’s Degree,3-5 years,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,900001,Independent,I have some experience using them.,"Yes, I use them every day in my work.",Daily,Daily,Daily,Daily,Daily,Daily,Daily,Monthly,Monthly,WoM
4cfdbc04-43f3-464b-84a9-790f454cc84d,Computer and Information Systems Managers,Female,Black,86K-165K,18,Bachelor’s Degree,1-2 year,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,10041,Democrat,I use them regularly.,"Yes, I use them every day in my work.",Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Prolific
0a9639fd-8b82-4d85-8bba-90b6462760d5,Computer and Information Systems Managers,Female,Black,165K-209K,27,Master’s Degree,6-10 years,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,,Democrat,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Daily,Daily,Daily,Daily,Daily,Daily,Daily,Weekly,Daily,Prolific
c1672ba2-0cee-4f04-bc07-cd385d6c895d,Computer Systems Analysts,Male,White,60-86K,36,"Professional Degree (e.g., MD, JD)",1-2 year,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,,Independent,I use them regularly.,"Yes, I have used them occasionally for specific tasks.",Never,Never,Never,Never,Monthly,Never,Monthly,Never,Monthly,Prolific
7244fcfe-9792-4f6a-84dd-29ce048d9889,Computer Systems Analysts,Female,White,165K-209K,33,"Doctorate (e.g., PhD)",6-10 years,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,68501,Democrat,I use them regularly.,"Yes, I use them every week in my work.",Daily,Weekly,Weekly,Weekly,Monthly,Weekly,Weekly,Daily,Weekly,Prolific
de7d26af-62e0-46e5-881a-166cb7ffdc19,Computer Systems Analysts,Male,White,30-60K,41,Master’s Degree,3-5 years,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,,Independent,I use them regularly.,"Yes, I use them every day in my work.",Daily,Weekly,Weekly,Daily,Weekly,Weekly,Daily,Monthly,Weekly,Prolific
dde4ad2d-758a-4cf5-91c9-72782474aa8c,Computer Systems Analysts,Female,White,60-86K,26,"Professional Degree (e.g., MD, JD)",3-5 years,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,,Independent,I have some experience using them.,"Yes, I use them every day in my work.",Daily,Weekly,Weekly,Weekly,Daily,Daily,Never,Never,Daily,Prolific
70500d15-d407-429a-97ea-107b964f3b77,Computer Systems Engineers/Architects,Male,White,209K-529K,27,Bachelor’s Degree,3-5 years,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,92630,Prefer not to answer,I use them regularly.,"Yes, I use them every week in my work.",Daily,Monthly,Monthly,Never,Monthly,Never,Weekly,Monthly,Daily,Upwork
f375b1dd-cf9c-4f5d-82f4-b4e674b902d0,Information Technology Project Managers,Male,Black,0-30K,28,Bachelor’s Degree,6-10 years,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,,No political affliation,I have some experience using them.,"Yes, I use them every week in my work.",Weekly,Weekly,Weekly,Daily,Weekly,Weekly,Weekly,Weekly,Weekly,WoM
d8b71c8b-763b-4f12-8bf3-bfc18c5af4ce,Computer Systems Analysts,Female,White,86K-165K,63,Bachelor’s Degree,More than 10 years,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,,Republican,I use them regularly.,"Yes, I use them every day in my work.",Weekly,Weekly,Never,Daily,Weekly,Weekly,Never,Never,Never,Prolific
fa785f60-af5d-4322-94ee-6cd65d98e86c,Computer Systems Analysts,Male,Other,60-86K,25,Bachelor’s Degree,1-2 year,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,,Independent,I use them regularly.,"Yes, I use them every day in my work.",Daily,Daily,Daily,Daily,Daily,Daily,Daily,Never,Never,Prolific
6b6f9272-a6bc-4b0c-9e0e-b68d82abac39,Computer Systems Analysts,Male,White,165K-209K,44,Bachelor’s Degree,More than 10 years,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,28607,Republican,I use them regularly.,"Yes, I use them every week in my work.",Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Prolific
62cf3c63-3007-45a1-8225-37c03128ff36,Computer Systems Analysts,Male,White,30-60K,33,"Some College, No Degree",1-2 year,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,Democrat,I use them regularly.,"Yes, I use them every week in my work.",Daily,Daily,Daily,Monthly,Weekly,Daily,Daily,Monthly,Weekly,Prolific
b22429d3-2fb5-4adb-bde7-13bdcc990a33,Computer Systems Analysts,Female,White,86K-165K,49,"Some College, No Degree",6-10 years,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,,Independent,I have some experience using them.,"Yes, I use them every week in my work.",Monthly,Weekly,Monthly,Weekly,Never,Never,Never,Never,Never,Prolific
9b8b74b5-b29c-4738-8bd3-4ef6870b7f6a,Computer Systems Analysts,Female,White,60-86K,39,Bachelor’s Degree,6-10 years,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,,Republican,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Never,Monthly,Never,Never,Never,Never,Monthly,Never,Never,Prolific
779c682a-290e-4ce7-8ea9-bfa1755b3d00,Information Technology Project Managers,Male,White,86K-165K,42,Bachelor’s Degree,More than 10 years,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,48168,No political affliation,I use them regularly.,"Yes, I have used them occasionally for specific tasks.",Daily,Daily,Monthly,Monthly,Weekly,Never,Weekly,Monthly,Monthly,Prolific
cc602f61-7db0-42f2-a05e-29a18a09668f,Computer Systems Analysts,Female,White,86K-165K,36,Bachelor’s Degree,3-5 years,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,,Independent,I have heard of them but don't know much about their functionalities.,"Yes, I have used them occasionally for specific tasks.",Weekly,Weekly,Weekly,Daily,Daily,Daily,Weekly,Weekly,Weekly,Prolific
d2dde44c-83d4-4bd6-8b29-78319f401143,Computer Systems Analysts,Male,Hispanic,86K-165K,36,Master’s Degree,6-10 years,Strongly agree,Somewhat disagree,Strongly agree,Strongly disagree,49684,Democrat,I use them regularly.,"Yes, I use them every day in my work.",Daily,Daily,Daily,Daily,Weekly,Weekly,Daily,Weekly,Weekly,Prolific
